"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geodata_center";"geoarea";
"5716";"«Аптекарский пер.», Доброслободская улица (5716)";"37.67244226";"55.76843078";"Доброслободская улица";"Западный административный округ";"район Раменки";"АТ24";"Аптекарский пер.";"";"да";"ГУП «Мосгортранс»";"активна";"889090318";"0101000000FC92859612D642407EAB96F05BE24B40";"";
"5717";"«Доброслободская ул. - Театр», Доброслободская улица (5717)";"37.67401267";"55.76437775";"Доброслободская улица";"Западный административный округ";"район Раменки";"АТ24";"Доброслободская ул. - Театр";"";"нет";"";"активна";"889090320";"0101000000AD5E130C46D6424021054F21D7E14B40";"";
"5718";"«Ул. Радио», улица Радио (5718)";"37.67868499222118";"55.76310832277998";"улица Радио";"Западный административный округ";"район Раменки";"А78; АТ24";"Ул. Радио";"";"нет";"";"активна";"889090321";"010100000020F05A26DFD642409DD29488ADE14B40";"";
"5719";"«Авиамоторная ул. (к/ст, выс.)», Красноказарменная улица (5719)";"37.71435106";"55.75343929";"Красноказарменная улица";"Западный административный округ";"район Проспект Вернадского";"А987; АТ24";"Авиамоторная ул. (к/ст, выс.)";"";"нет";"";"активна";"889090322";"01010000000E4804DB6FDB42402609DBB270E04B40";"";
"5720";"«Белореченская ул.», Белореченская улица (5720)";"37.7650359";"55.67084065";"Белореченская улица";"Западный административный округ";"район Проспект Вернадского";"А657; А728; А30; АН5; А242; А326; А415; А511; А658";"Белореченская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889090324";"01010000000A6245B2ECE14240E8493E1BDED54B40";"";
"5721";"«Белореченская ул., 17», Белореченская улица (5721)";"37.76636394";"55.67356933";"Белореченская улица";"Юго-Западный административный округ";"Обручевский район";"А657; А728; А30; АН5; А242; А326; А415; А511; А658";"Белореченская ул., 17";"";"да";"ГУП «Мосгортранс»";"активна";"889090325";"01010000001D91AD3618E2424025F8118537D64B40";"";
"5722";"«Новороссийская ул.», Краснодарская улица (5722)";"37.75828866";"55.67738674";"Краснодарская улица";"Юго-Восточный административный округ";"район Люблино";"А30; АН5; АС4; А528; А530; А658";"Новороссийская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889090327";"010100000057D0519A0FE14240A485D39BB4D64B40";"";
"5723";"«Армавирская ул.», Краснодарская улица (5723)";"37.75293217";"55.67778439";"Краснодарская улица";"Юго-Восточный административный округ";"район Люблино";"А30; АН5; АС4; А528; А530; А658";"Армавирская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889090328";"0101000000CF20D31460E0424008658EA3C1D64B40";"";
"5724";"«Просп. 40 лет Октября», Краснодарская улица (5724)";"37.74502547";"55.67730974";"Краснодарская улица";"Юго-Восточный административный округ";"район Люблино";"А30; АС4; А528";"Просп. 40 лет Октября";"";"да";"ГУП «Мосгортранс»";"активна";"889090329";"0101000000242B9EFE5CDF4240F847E715B2D64B40";"";
"5725";"«Краснодарская ул.», Люблинская улица (5725)";"37.73882293";"55.67633818";"Люблинская улица";"Южный административный округ";"район Нагатино-Садовники";"А623; А350; А650; АТ50";"Краснодарская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889090331";"010100000044F1F0BF91DE42406E11DE3F92D64B40";"";
